"","APC","EGFR","FBXW7","NTRK3","b.scores"
"506",0,0,0,0,-0.115547309982096
"507",0,0,0,0,-0.115547309982096
"508",0,1,0,0,-0.115547309982096
"509",0,0,0,0,-0.115547309982096
"510",0,0,0,0,-0.115547309982096
"511",0,0,0,0,-0.115547309982096
"512",0,0,0,0,-0.115547309982096
"513",1,0,0,0,0.0534830232972798
"514",0,1,0,0,-0.115547309982096
"515",0,1,0,0,-0.115547309982096
"516",0,1,0,0,-0.115547309982096
"517",0,1,0,0,-0.115547309982096
"518",0,0,0,0,-0.115547309982096
"519",1,0,0,0,0.0534830232972798
"520",0,0,0,0,-0.115547309982096
"521",0,0,0,0,-0.115547309982096
"522",0,0,0,0,-0.115547309982096
"523",0,0,0,0,-0.115547309982096
"524",0,0,0,0,-0.115547309982096
"525",0,0,0,0,-0.115547309982096
"526",0,1,0,0,-0.115547309982096
"527",0,0,0,0,-0.115547309982096
"528",0,0,0,0,-0.115547309982096
"529",0,0,0,0,-0.115547309982096
"530",0,0,0,0,-0.115547309982096
